DESCRIPCION;T.M.;MES;year;TIPO_DATO;CALIDAD;OBSERVACIONES
Fruta Recibida;5000.00;enero;2024;normal;alta;Datos consistentes
Fruta Proyectada;5500.00;enero;2024;normal;alta;Proyección realista
Proyeccion Compra de Fruta Ajustada;5250.00;enero;2024;normal;alta;Ajuste estándar
Fruta Recibida;2000.00;febrero;2024;normal;media;Temporada baja
Fruta Proyectada;2500.00;febrero;2024;normal;media;Proyección conservadora
Proyeccion Compra de Fruta Ajustada;2250.00;febrero;2024;normal;media;Ajuste por temporada
Fruta Recibida;8000.00;marzo;2024;normal;alta;Inicio temporada alta
Fruta Proyectada;8500.00;marzo;2024;normal;alta;Proyección optimista
Proyeccion Compra de Fruta Ajustada;8250.00;marzo;2024;normal;alta;Ajuste estándar
Fruta Recibida;1500.00;abril;2024;normal;baja;Caída estacional
Fruta Proyectada;2000.00;abril;2024;normal;baja;Proyección conservadora
Proyeccion Compra de Fruta Ajustada;1750.00;abril;2024;normal;baja;Ajuste por caída
Fruta Recibida;9000.00;mayo;2024;normal;alta;Temporada alta
Fruta Proyectada;9500.00;mayo;2024;normal;alta;Proyección optimista
Proyeccion Compra de Fruta Ajustada;9250.00;mayo;2024;normal;alta;Ajuste estándar
Fruta Recibida;1200.00;junio;2024;normal;baja;Temporada baja
Fruta Proyectada;1700.00;junio;2024;normal;baja;Proyección conservadora
Proyeccion Compra de Fruta Ajustada;1450.00;junio;2024;normal;baja;Ajuste por temporada
Fruta Recibida;7500.00;julio;2024;normal;alta;Recuperación estacional
Fruta Proyectada;8000.00;julio;2024;normal;alta;Proyección realista
Proyeccion Compra de Fruta Ajustada;7750.00;julio;2024;normal;alta;Ajuste estándar
Fruta Recibida;3000.00;agosto;2024;normal;media;Temporada media
Fruta Proyectada;3500.00;agosto;2024;normal;media;Proyección conservadora
Proyeccion Compra de Fruta Ajustada;3250.00;agosto;2024;normal;media;Ajuste estándar
Fruta Recibida;6000.00;septiembre;2024;normal;alta;Temporada alta
Fruta Proyectada;6500.00;septiembre;2024;normal;alta;Proyección optimista
Proyeccion Compra de Fruta Ajustada;6250.00;septiembre;2024;normal;alta;Ajuste estándar
Fruta Recibida;1800.00;octubre;2024;normal;baja;Caída estacional
Fruta Proyectada;2300.00;octubre;2024;normal;baja;Proyección conservadora
Proyeccion Compra de Fruta Ajustada;2050.00;octubre;2024;normal;baja;Ajuste por caída
Fruta Recibida;8500.00;noviembre;2024;normal;alta;Temporada alta
Fruta Proyectada;9000.00;noviembre;2024;normal;alta;Proyección optimista
Proyeccion Compra de Fruta Ajustada;8750.00;noviembre;2024;normal;alta;Ajuste estándar
Fruta Recibida;2500.00;diciembre;2024;normal;media;Fin de año
Fruta Proyectada;3000.00;diciembre;2024;normal;media;Proyección conservadora
Proyeccion Compra de Fruta Ajustada;2750.00;diciembre;2024;normal;media;Ajuste estándar
Fruta Recibida;15000.00;enero;2025;pico;critica;PICO ANÓMALO - Posible error de medición
Fruta Proyectada;15500.00;enero;2025;pico;critica;Proyección inflada por pico
